start,duration,value
2020-07-17T20:51:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[36,22,24,70,50,6,0,0,8,68,56]"
2020-07-17T21:03:00+02:00,"[60,60,60,60,60]","[9,11,0,8,13]"
2020-07-18T09:48:00+02:00,"[60,60]","[10,20]"
2020-07-18T09:51:00+02:00,[60],[11]
2020-07-18T09:53:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[15,21,63,111,110,121,112,112,104,12,0]"
2020-07-18T10:09:00+02:00,[60],[34]
2020-07-18T10:11:00+02:00,"[60,60,60]","[47,11,6]"
2020-07-18T10:18:00+02:00,[60],[16]
2020-07-18T10:21:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[6,26,116,58,121,110,110,106,24,0]"
2020-07-18T10:33:00+02:00,[60],[0]
2020-07-18T11:31:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,28,19,27,9,31,8,18,0,23,26,6,8]"
2020-07-18T11:45:00+02:00,"[60,60]","[0,12]"
2020-07-18T11:52:00+02:00,"[60,60,60]","[6,8,18]"
2020-07-18T11:57:00+02:00,[60],[15]
2020-07-18T12:00:00+02:00,[60],[24]
2020-07-18T12:23:00+02:00,[60],[7]
2020-07-18T12:45:00+02:00,"[60,60,60]","[9,8,7]"
2020-07-18T12:50:00+02:00,"[60,60]","[11,13]"
2020-07-18T12:55:00+02:00,"[60,60]","[15,14]"
2020-07-18T12:58:00+02:00,[60],[16]
2020-07-18T13:00:00+02:00,[60],[35]
2020-07-18T13:02:00+02:00,[13080],[7]
2020-07-18T14:18:00+02:00,"[60,60]","[0,0]"
2020-07-18T14:22:00+02:00,[60],[7]
2020-07-18T14:31:00+02:00,"[60,60,60]","[16,18,30]"
2020-07-18T14:34:00+02:00,[7560],[7]
2020-07-18T15:15:00+02:00,"[60,60,4980]","[27,0,7]"
2020-07-18T15:59:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[12,10,21,13,37,0,55,30,44,76,20,0,17]"
2020-07-18T16:15:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[33,22,42,114,66,126,87,79,73,41,41,93,62,69,67,62,93,35,0,0,74,42,60,89,85,53,45,33,32,0,0,6,19,2]"
2020-07-18T16:50:00+02:00,[60],[22]
2020-07-18T16:52:00+02:00,[60],[11]
2020-07-18T16:56:00+02:00,[60],[8]
2020-07-18T17:06:00+02:00,"[60,60,60]","[8,11,12]"
2020-07-18T17:11:00+02:00,[60],[7]
2020-07-18T17:19:00+02:00,[60],[0]
2020-07-18T17:21:00+02:00,"[60,60]","[36,30]"
2020-07-18T17:47:00+02:00,[60],[6]
2020-07-18T17:52:00+02:00,[60],[18]
2020-07-18T17:59:00+02:00,"[60,60,60,60,60]","[20,33,20,55,11]"
2020-07-18T18:05:00+02:00,"[60,60,60,60,60,60,60,60]","[39,35,18,5,21,45,16,16]"
2020-07-18T18:14:00+02:00,"[60,60,60,60]","[37,0,13,56]"
2020-07-18T18:24:00+02:00,[60],[10]
2020-07-18T18:33:00+02:00,[60],[6]
2020-07-18T18:35:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,24,13,11,0,0,60,38,69,0,0,7,29,59,18,65,47,0,24,29,44,38,14]"
2020-07-18T19:02:00+02:00,"[60,60]","[6,5]"
2020-07-18T19:09:00+02:00,[60],[8]
2020-07-18T19:15:00+02:00,[60],[7]
2020-07-18T19:21:00+02:00,"[60,60,60]","[11,31,11]"
2020-07-18T19:25:00+02:00,"[60,60]","[0,6]"
2020-07-18T19:28:00+02:00,[60],[8]
2020-07-18T19:30:00+02:00,"[60,60]","[6,7]"
2020-07-18T19:33:00+02:00,[60],[6]
2020-07-18T19:35:00+02:00,"[60,60]","[0,17]"
2020-07-18T19:38:00+02:00,[60],[8]
2020-07-18T19:45:00+02:00,"[60,60]","[14,0]"
2020-07-18T19:54:00+02:00,"[60,60,60,60]","[12,10,16,13]"
2020-07-18T20:01:00+02:00,[60],[7]
2020-07-18T20:12:00+02:00,[60],[6]
2020-07-18T20:14:00+02:00,"[60,60]","[7,23]"
2020-07-18T20:26:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[36,9,39,52,78,58,11,36,18,26,53,11,10,21,46,24,0,28,56,49,0]"
2020-07-18T20:47:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[10,80,16,36,79,10,47,33,15,36,13,47,7,53,12,19,19,6,24,48,19,9]"
2020-07-18T21:10:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[53,0,9,0,44,34,8,32,29,26,52,24,41,27,59,39,0,48,79,73,36,34,76,51,46,69,41,36,18,38,19,0,19,1,22,0,12,36,0,6,10,13,21,6,71,53,96,53,77,90,11,19,6]"
2020-07-18T22:04:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[0,35,101,101,77,36,47,5,28,19]"
2020-07-18T22:15:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0,55,63,38,22,8,11,55,89,17,17]"
2020-07-18T22:42:00+02:00,[60],[0]
2020-07-18T22:44:00+02:00,[60],[15]
2020-07-19T11:30:00+02:00,[120],[8]
2020-07-19T11:40:00+02:00,[60],[9]
2020-07-19T11:42:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[82,108,96,114,105,119,97,106,50,84,109,100,105,60,31,82,96,94,110,68]"
2020-07-19T12:02:00+02:00,"[60,60,60,60]","[35,84,22,58]"
2020-07-19T12:07:00+02:00,"[60,60,60,60,60,60,60,60,60]","[66,14,76,59,0,17,40,33,5]"
2020-07-19T12:17:00+02:00,[60],[12]
2020-07-19T12:20:00+02:00,"[60,60]","[15,6]"
2020-07-19T12:26:00+02:00,"[60,60]","[8,0]"
2020-07-19T12:29:00+02:00,[60],[0]
2020-07-19T12:34:00+02:00,[60],[0]
2020-07-19T12:44:00+02:00,[60],[7]
2020-07-19T12:46:00+02:00,[60],[5]
2020-07-19T12:50:00+02:00,[60],[12]
2020-07-19T12:52:00+02:00,[60],[17]
2020-07-19T12:57:00+02:00,[60],[6]
2020-07-19T13:09:00+02:00,[60],[0]
2020-07-19T13:11:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,8,16,106,97,101,108,98,112,99,103,55,96,82,99,96,104,97,30]"
2020-07-19T13:33:00+02:00,"[60,60,60,60,60,60,60,60]","[19,89,85,91,60,68,61,81]"
2020-07-19T13:44:00+02:00,"[60,60,60,60,60]","[6,0,6,6,6]"
2020-07-19T13:51:00+02:00,"[60,60]","[0,0]"
2020-07-19T13:55:00+02:00,[60],[12]
2020-07-19T13:57:00+02:00,[60],[6]
2020-07-19T14:06:00+02:00,"[60,60,60,60]","[58,107,118,70]"
2020-07-19T14:12:00+02:00,[60],[6]
2020-07-19T14:14:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[28,28,29,102,83,102,112,115,94,78,106,111,105,92,111,96,65,114,106,112,105,91]"
2020-07-19T14:37:00+02:00,"[60,60,60,60]","[6,58,37,11]"
2020-07-19T14:43:00+02:00,"[60,60]","[7,0]"
2020-07-19T14:47:00+02:00,[60],[6]
2020-07-19T14:50:00+02:00,"[60,60]","[9,14]"
2020-07-19T14:53:00+02:00,"[60,60]","[7,0]"
2020-07-19T14:56:00+02:00,[60],[9]
2020-07-19T16:03:01+02:00,[59],[24]
2020-07-19T16:33:00+02:00,"[60,60,60]","[31,0,0]"
2020-07-19T16:37:00+02:00,[60],[0]
2020-07-19T17:01:00+02:00,[60],[8]
2020-07-19T17:35:00+02:00,[60],[0]
2020-07-19T18:09:00+02:00,[60],[8]
2020-07-19T18:12:00+02:00,[60],[13]
2020-07-19T19:03:00+02:00,[60],[26]
2020-07-19T19:09:00+02:00,"[60,60]","[0,10]"
2020-07-19T19:30:00+02:00,[60],[0]
2020-07-19T19:32:00+02:00,[60],[8]
2020-07-19T19:58:00+02:00,[60],[6]
2020-07-19T20:12:00+02:00,[60],[25]
2020-07-19T20:14:00+02:00,[60],[8]
2020-07-19T20:16:00+02:00,[60],[9]
2020-07-19T20:36:00+02:00,[60],[26]
2020-07-19T20:42:00+02:00,[60],[13]
2020-07-19T20:45:00+02:00,[60],[15]
2020-07-19T20:56:00+02:00,"[60,60]","[18,31]"
2020-07-19T21:10:00+02:00,[60],[13]
2020-07-19T21:37:00+02:00,[60],[8]
2020-07-19T21:42:00+02:00,"[60,60]","[12,40]"
2020-07-19T21:50:00+02:00,[60],[10]
2020-07-19T22:16:00+02:00,[60],[12]
2020-07-19T22:19:00+02:00,[60],[12]
2020-07-19T22:28:00+02:00,[60],[9]
2020-07-20T08:07:00+02:00,"[60,60,60,60,60]","[0,0,30,51,38]"
2020-07-20T08:13:00+02:00,"[60,60,60,60,60,60,60,60,60]","[8,0,13,91,61,63,54,28,12]"
2020-07-20T08:23:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[37,11,60,77,109,25,42,108,42,6,17]"
2020-07-20T08:59:00+02:00,"[60,60]","[15,8]"
2020-07-20T09:48:00+02:00,[60],[21]
2020-07-20T10:09:00+02:00,"[60,60]","[52,22]"
2020-07-20T10:29:00+02:00,"[60,60]","[71,24]"
2020-07-20T10:42:00+02:00,[60],[27]
2020-07-20T12:07:00+02:00,"[60,60,60,60,60,60]","[8,51,19,59,65,16]"
2020-07-20T12:14:00+02:00,"[60,60,60,60]","[39,11,19,50]"
2020-07-20T12:30:00+02:00,[60],[6]
2020-07-20T12:57:00+02:00,[60],[7]
2020-07-20T13:29:00+02:00,[60],[10]
2020-07-20T13:32:00+02:00,[60],[8]
2020-07-20T13:34:00+02:00,"[60,60,60,60,60,60]","[6,15,8,42,105,91]"
2020-07-20T13:43:00+02:00,"[60,60,60,60,60]","[103,65,77,21,43]"
2020-07-20T14:12:00+02:00,"[60,60]","[10,0]"
2020-07-20T14:41:00+02:00,[60],[6]
2020-07-20T14:46:00+02:00,[60],[26]
2020-07-20T14:50:00+02:00,"[60,60]","[16,13]"
2020-07-20T14:53:00+02:00,[60],[23]
2020-07-20T15:10:00+02:00,[60],[18]
2020-07-20T15:36:00+02:00,[60],[0]
2020-07-20T15:54:00+02:00,[60],[6]
2020-07-20T16:12:00+02:00,[60],[19]
2020-07-20T17:15:00+02:00,"[60,60]","[6,5]"
2020-07-20T17:19:00+02:00,[60],[26]
2020-07-20T17:23:00+02:00,"[60,60,60,60,60,60,60,60,60]","[64,69,37,49,75,93,95,50,18]"
2020-07-20T17:32:00+02:00,"[60,60]","[16,11]"
2020-07-20T18:03:00+02:00,[60],[26]
2020-07-20T18:42:00+02:00,[60],[14]
2020-07-20T18:50:00+02:00,"[60,60]","[14,6]"
2020-07-20T18:53:00+02:00,[60],[8]
2020-07-20T18:58:00+02:00,"[60,60]","[0,0]"
2020-07-20T19:23:00+02:00,"[60,60,60,60]","[8,19,17,29]"
2020-07-20T19:30:00+02:00,[60],[6]
2020-07-20T19:41:00+02:00,"[60,60,60]","[0,8,21]"
2020-07-20T20:09:00+02:00,[60],[12]
2020-07-20T20:13:00+02:00,"[60,60]","[20,0]"
2020-07-20T20:48:00+02:00,[60],[25]
2020-07-20T21:16:00+02:00,[60],[6]
2020-07-20T21:27:00+02:00,"[60,60]","[9,0]"
2020-07-20T21:31:00+02:00,[60],[38]
2020-07-21T08:35:00+02:00,"[60,60,60,60]","[58,9,8,9]"
2020-07-21T08:40:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[45,17,66,34,29,80,56,95,58,8]"
2020-07-21T08:53:00+02:00,[60],[6]
2020-07-21T08:55:00+02:00,"[60,60]","[11,8]"
2020-07-21T08:58:00+02:00,"[60,60]","[0,0]"
2020-07-21T09:16:00+02:00,[60],[10]
2020-07-21T09:18:00+02:00,"[60,60,60,60,60,60,60,60]","[65,0,10,13,21,30,71,10]"
2020-07-21T09:27:00+02:00,"[60,60]","[14,68]"
2020-07-21T09:29:00+02:00,[60],[26]
2020-07-21T09:35:00+02:00,[60],[16]
2020-07-21T09:37:00+02:00,[60],[0]
2020-07-21T09:42:00+02:00,[60],[13]
2020-07-21T09:47:00+02:00,"[60,60]","[44,23]"
2020-07-21T09:50:00+02:00,[60],[13]
2020-07-21T10:00:00+02:00,[60],[8]
2020-07-21T10:40:00+02:00,"[60,60,60,60]","[17,13,57,44]"
2020-07-21T10:47:00+02:00,"[60,60]","[38,17]"
2020-07-21T11:01:00+02:00,[60],[11]
2020-07-21T11:06:00+02:00,[60],[7]
2020-07-21T11:12:00+02:00,[60],[0]
2020-07-21T11:33:00+02:00,[60],[0]
2020-07-21T12:05:00+02:00,"[60,60,60]","[45,121,104]"
2020-07-21T12:15:00+02:00,"[60,60,60,60,60,60]","[82,94,96,80,0,28]"
2020-07-21T12:23:00+02:00,[60],[8]
2020-07-21T12:48:00+02:00,"[60,60]","[0,0]"
2020-07-21T12:58:00+02:00,[60],[0]
2020-07-21T13:50:00+02:00,"[60,60]","[10,12]"
2020-07-21T14:23:00+02:00,[60],[23]
2020-07-21T14:25:00+02:00,"[60,60]","[7,0]"
2020-07-21T14:39:00+02:00,[60],[6]
2020-07-21T14:59:00+02:00,"[60,60,60,60,60,60,60,60]","[6,109,111,30,30,109,109,29]"
2020-07-21T15:10:00+02:00,"[60,60]","[13,15]"
2020-07-21T15:59:00+02:00,[60],[12]
2020-07-21T16:38:00+02:00,"[60,60,60,60]","[6,14,9,0]"
2020-07-21T16:44:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[29,64,81,59,28,56,92,111,68,21,29]"
2020-07-21T17:00:00+02:00,[60],[0]
2020-07-21T17:05:00+02:00,[60],[6]
2020-07-21T17:07:00+02:00,[60],[0]
2020-07-21T17:10:00+02:00,[60],[8]
2020-07-21T17:15:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[19,9,17,17,44,0,0,8,18,8,0,0,0]"
2020-07-21T17:29:00+02:00,"[60,60,60,60]","[20,14,36,0]"
2020-07-21T17:34:00+02:00,[60],[11]
2020-07-21T17:40:00+02:00,"[60,60]","[20,14]"
2020-07-21T17:43:00+02:00,"[60,60,60,60,60,60,60]","[6,48,52,11,21,0,6]"
2020-07-21T17:56:00+02:00,"[60,60]","[6,13]"
2020-07-21T18:16:00+02:00,"[60,60,60]","[12,30,22]"
2020-07-21T18:25:00+02:00,[60],[30]
2020-07-21T18:29:00+02:00,[60],[13]
2020-07-21T18:38:00+02:00,"[60,60,60,60]","[13,25,10,8]"
2020-07-21T18:43:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[42,44,35,17,84,41,34,37,83,48,41,73,15,0,0,47]"
