start,duration,value
2020-07-16T22:07:00+02:00,"[60,60,60]","[19.34,14.67,15.19]"
2020-07-16T22:24:00+02:00,"[60,60]","[9.64,15.39]"
2020-07-17T08:15:00+02:00,"[60,60]","[18.84,10.43]"
2020-07-17T08:20:00+02:00,"[60,60,60]","[8.65,5.07,9.16]"
2020-07-17T08:24:00+02:00,[60],[5.25]
2020-07-17T08:26:00+02:00,[60],[19.49]
2020-07-17T09:02:00+02:00,[60],[6.07]
2020-07-17T09:49:00+02:00,"[60,60,60]","[9.01,13.02,8.69]"
2020-07-17T10:14:00+02:00,"[60,60,60,60,60,60]","[11.09,0,5.51,22,19.25,9.27]"
2020-07-17T10:33:00+02:00,[60],[6.43]
2020-07-17T10:49:00+02:00,[60],[6.17]
2020-07-17T10:52:00+02:00,[60],[20.29]
2020-07-17T11:33:00+02:00,"[60,60]","[18.97,0]"
2020-07-17T11:36:00+02:00,[60],[10.82]
2020-07-17T12:20:00+02:00,"[60,60]","[17.3,6.7]"
2020-07-17T12:44:00+02:00,"[60,60,60,60,60]","[16.88,21.3,13.3,11.09,0]"
2020-07-17T12:50:00+02:00,"[60,60]","[6.31,13.08]"
2020-07-17T14:10:00+02:00,[60],[5.16]
2020-07-17T14:25:00+02:00,"[60,60,60]","[0,9.53,4.059]"
2020-07-17T16:05:00+02:00,"[60,60,60]","[0,14.56,0]"
2020-07-17T17:04:00+02:00,"[60,60,60,60]","[30.3,37.11,19.39,32.38]"
2020-07-17T17:10:00+02:00,[60],[4.86]
2020-07-17T17:26:00+02:00,"[60,60,60,60]","[6.17,4.39,5.71,46.93]"
2020-07-17T17:31:00+02:00,"[60,60,60,60,60]","[13.99,61.97,45.19,37.18,64.98]"
2020-07-17T17:38:00+02:00,[60],[9.69]
2020-07-17T17:41:00+02:00,"[60,60,60,60,60]","[4.1,17.7,17.94,13.34,0]"
2020-07-17T17:47:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,4.68,19.73,10.25,41.58,24.9,34.8,18.69,0,4.1,75.92,40.25,67.75,53.81,32.7,4.05,7.26,32.049,57.19,13.29,58.6,14.71,24.96,67.85,35.92,36.32,11.58,0]"
2020-07-17T18:18:00+02:00,"[60,60,60,60]","[23.15,16.11,8.66,0]"
2020-07-17T18:23:00+02:00,"[60,60]","[0,4.69]"
2020-07-17T18:26:00+02:00,"[60,60]","[5.71,0]"
2020-07-17T18:30:00+02:00,[60],[12.62]
2020-07-17T18:34:00+02:00,"[60,60,60,60]","[46.11,29.14,8.44,28.16]"
2020-07-17T18:40:00+02:00,"[60,60,60,60,60,60]","[5.43,7.29,38.54,1.59,19.9,43.72]"
2020-07-17T18:47:00+02:00,"[60,60,60,60]","[14.24,12.69,10.33,16.45]"
2020-07-17T20:41:00+02:00,"[60,60,60,60,60,60]","[6.89,10.87,18.23,32.58,58.51,14.72]"
2020-07-17T20:49:00+02:00,[60],[14.96]
